src,trg,NL,Sim_Score
of,of,0,0.301029995663981
to,to,0,0.301029995663981
in,in,0,0.301029995663981
a,aa,0.5,0.176091259055681
is,is,0,0.301029995663981
on,on,0,0.301029995663981
as,as,0,0.301029995663981
it,it,0,0.301029995663981
by,by,0,0.301029995663981
be,be,0,0.301029995663981
s,ss,0.5,0.176091259055681
at,at,0,0.301029995663981
or,or,0,0.301029995663981
i,ii,0.5,0.176091259055681
an,an,0,0.301029995663981
he,he,0,0.301029995663981
we,we,0,0.301029995663981
if,if,0,0.301029995663981
up,up,0,0.301029995663981
do,do,0,0.301029995663981
so,so,0,0.301029995663981
no,no,0,0.301029995663981
my,my,0,0.301029995663981
us,us,0,0.301029995663981
me,me,0,0.301029995663981
uk,uk,0,0.301029995663981
go,go,0,0.301029995663981
am,am,0,0.301029995663981
de,de,0,0.301029995663981
ve,ve,0,0.301029995663981
re,re,0,0.301029995663981
m,mm,0.5,0.176091259055681
mr,mr,0,0.301029995663981
ll,ll,0,0.301029995663981
ii,ii,0,0.301029995663981
st,st,0,0.301029995663981
b,bb,0.5,0.176091259055681
d,dd,0.5,0.176091259055681
x,xx,0.5,0.176091259055681
c,cc,0.5,0.176091259055681
pm,pm,0,0.301029995663981
ca,ca,0,0.301029995663981
tv,tv,0,0.301029995663981
u,uu,0.5,0.176091259055681
dr,dr,0,0.301029995663981
la,la,0,0.301029995663981
e,ee,0.5,0.176091259055681
j,jj,0.5,0.176091259055681
km,km,0,0.301029995663981
p,pp,0.5,0.176091259055681
f,ff,0.5,0.176091259055681
cd,cd,0,0.301029995663981
eu,eu,0,0.301029995663981
al,al,0,0.301029995663981
oh,oh,0,0.301029995663981
et,et,0,0.301029995663981
t,tt,0.5,0.176091259055681
n,nn,0.5,0.176091259055681
o,oo,0.5,0.176091259055681
nd,nd,0,0.301029995663981
g,gg,0.5,0.176091259055681
pc,pc,0,0.301029995663981
r,rr,0.5,0.176091259055681
wo,wo,0,0.301029995663981
th,th,0,0.301029995663981
rd,rd,0,0.301029995663981
h,hh,0.5,0.176091259055681
l,ll,0.5,0.176091259055681
mm,mm,0,0.301029995663981
le,le,0,0.301029995663981
ad,ad,0,0.301029995663981
ms,ms,0,0.301029995663981
er,er,0,0.301029995663981
mp,mp,0,0.301029995663981
ed,ed,0,0.301029995663981
pp,pp,0,0.301029995663981
k,kk,0.5,0.176091259055681
un,un,0,0.301029995663981
ok,ok,0,0.301029995663981
el,el,0,0.301029995663981
q,qq,0.5,0.176091259055681
iv,iv,0,0.301029995663981
hi,hi,0,0.301029995663981
bc,bc,0,0.301029995663981
ma,ma,0,0.301029995663981
ip,ip,0,0.301029995663981
en,en,0,0.301029995663981
id,id,0,0.301029995663981
gp,gp,0,0.301029995663981
eg,eg,0,0.301029995663981
co,co,0,0.301029995663981
cm,cm,0,0.301029995663981
du,du,0,0.301029995663981
bt,bt,0,0.301029995663981
da,da,0,0.301029995663981
fm,fm,0,0.301029995663981
ie,ie,0,0.301029995663981
jr,jr,0,0.301029995663981
di,di,0,0.301029995663981
dc,dc,0,0.301029995663981
dj,dj,0,0.301029995663981
gm,gm,0,0.301029995663981
ba,ba,0,0.301029995663981
os,os,0,0.301029995663981
fc,fc,0,0.301029995663981
ft,ft,0,0.301029995663981
vi,vi,0,0.301029995663981
im,im,0,0.301029995663981
cv,cv,0,0.301029995663981
ye,ye,0,0.301029995663981
z,zz,0.5,0.176091259055681
pa,pa,0,0.301029995663981
ex,ex,0,0.301029995663981
pr,pr,0,0.301029995663981
na,na,0,0.301029995663981
fa,fa,0,0.301029995663981
ep,ep,0,0.301029995663981
li,li,0,0.301029995663981
hr,hr,0,0.301029995663981
ai,ai,0,0.301029995663981
ec,ec,0,0.301029995663981
ah,ah,0,0.301029995663981
mg,mg,0,0.301029995663981
kb,kb,0,0.301029995663981
fn,fn,0,0.301029995663981
jo,jo,0,0.301029995663981
xp,xp,0,0.301029995663981
ha,ha,0,0.301029995663981
se,se,0,0.301029995663981
ac,ac,0,0.301029995663981
